domain,ip_address,semrush_AS,semrush_traffic,semrush_perc_english_traffic,semrush_organic_kw,moz_da,moz_pa,moz_perc_quality_bl,moz_spam_score,domain_age,majestic_trust_flow,majestic_citation_flow,ahrefs_domain_rank,errors
msn.com,204.79.197.219,94,62179054,35,12050827,94,79,,32,29,5,38,,"The domain has already been taken."
www.apnews.com,34.111.72.3,88,34461660,81,10974931,92,74,75,2,32,,,,"The domain has already been taken."
http://houzz.com,151.101.128.93,72,3905860,82,5255660,90,72,90,1,17,19,32,,"The domain has already been taken."
"not a domain",52.11.162.181,62,972615,95,3798351,72,57,35,1,26,,,,"The domain field format is invalid."
https://theglobeandmail.com,199.198.138.250,71,3353890,91,2783909,92,68,49,1,28,,,,"The domain has already been taken."
http://www.patreon.com,104.16.6.49,79,8356063,57,2486932,92,71,83,7,10,30,60,,"The domain has already been taken."
https://www.nairaland.com,104.20.248.29,62,3930828,8,1948675,89,63,86,1,18,,,,"The domain has already been taken."
